id,version,used_external_support,what_external_support,gave_false_info,what_false_info,met_issues,issues,default_decision
adxl926881385642729pvuw,NA,no,NA,yes,écriture des mots ,no,NA,include
akdu76317498757772sfnk,NA,no,NA,yes,"réponse au hasard quand je ne sais pas. C'est dommage que vous ne mettiez pas l'option ""je ne sais pas"" dans le dernier test.",no,NA,include
aqcx646249376166603nhlj,NA,no,NA,yes,NA,no,NA,include
asfk247713443631365niyi,NA,no,NA,no,NA,yes,Parfois il était difficile de faire bouger le rectangle avec la souris au moment de choisir l'angle et cela arrivait aussi avec la roue des couleurs. Ce n'était pas très fluide,include
dixe3267056030334qnrv,NA,no,NA,no,NA,yes,"Parfois, l'orientation du rectangle était difficile, j'ai perdu certains éléments que je tentais de retenir, c'est arrivé 1 ou 2 fois",include
fixq15661040087633vhdz,NA,no,NA,no,NA,yes,mon fils et mon conjoint m ont perturbé en parlant et me posant des questions durant une partie de l'expérience,include
fmnd82061456135059qors,NA,no,NA,no,NA,yes,"fatiguée, il est tard",include
gnei92939853989780ptzy,NA,no,NA,no,NA,yes,"les paires, impaires se passaient tout seuls, j'ai essayé de jouer le jeu quand meme en disant paire ou impaire mais ça passait très vite",include
ihaz858939478377746sfyj,NA,no,NA,no,NA,yes,"Sur les mots, l'orientation, couleur : fin de journée, fatigue et distrait au milieu de l'expérience. ",include
irrj885749909444314nwbw,NA,no,NA,no,NA,yes,Je n’ai pas pu indiquer l’orientation des rectangles car je n’avais pas de souris,include
ixgr16146752925574uboi,NA,no,NA,yes,Je me disais que aucune réponse m'allais donc j'ai mis ça en disant que c'est ma vérité a moi la plus plausible,yes,quelqu'un m'as parlé à la moitié de l'expérience ce qui m'a beaucoup déconcentré j'ai même perdu le fil,include
jjfh582509807477278vcus,NA,no,NA,no,NA,yes,Parfois le rectangle ne tournais pas ,include
jtom15019521178woow,NA,yes,Au début je me suis aidée pour l'orientation (utilisation de stylos) puis j'ai arrêtée car le test serait faussé,no,NA,yes,"Téléphone qui sonne
Un peu marre à la fin ",exclude
kfot838621949188388fkzf,NA,no,NA,yes,NA,yes,NA,include
kpnc681472168634647fvob,NA,yes,J'ai retenu les 2 premiers ensembles (mot/couleur/orientation) et j'ai noté le troisième,no,NA,no,NA,exclude
kxuc65858692499750bxjd,NA,no,NA,no,NA,yes,"au départ, il faut tourner le rectangle dans le sens des aiguilles d'une montre (ne fonctionne pas dans l'autre sens). C'est déroutant.",include
mlfh90979292786519jfih,NA,yes,parfois notes ,no,NA,no,NA,exclude
ofiy5698974926737omff,NA,yes,papier,no,NA,yes,C'était long donc à force moins de concentration ,exclude
oizo741792780318263arii,NA,no,NA,no,NA,yes,"la roue des couleurs était décalé par rapport la position de ma souris, quelques bug avec le rectangle aussi",include
qgor249980893451764zrvj,NA,no,NA,no,NA,yes,"Sur un des dernier essai, j'ai du aller chercher une souris car la flèche ne bougeait plus",include
rtso32826498900967ogmg,NA,no,NA,no,NA,yes,J'ai été très frustrée de ma difficulté à retenir l'orientation. Aussi me rappeler des couleurs entrainait parfois un oubli des mots. ,include
rvnt23870835850638ootd,NA,no,NA,no,NA,yes,"pour choisir la couleur j'avais des difficultés à bouger dans le cercle

J'ai l'impression que mes doigts pianotaient sur F et J parfois n'importe comment avec le stress de retenir les informations",include
rxxk97031716860098cwhl,NA,yes,première lettre du mot et couleur,yes,"Pour les nuances de couleur , type bleu -vert , j'ai pu répondre au feeling !",no,NA,exclude
sfmw260490897961789lpnb,NA,no,NA,no,NA,yes,bruit parasite,include
tcmv93776695306270xllt,NA,no,NA,no,NA,yes,"premier exercice déroutant, je n'avais pas bien compris ce qui allait suivre",include
ucoe76217798760768baco,NA,no,NA,no,NA,yes,quelqu'un a sonné à la porte lors d'un essai donc je n'ai rien répondu ,include
uooo85028480498115sqkt,NA,no,NA,no,NA,yes,problème de clavier lorseque je cliquais sur une lettre f ou J cela me déclenchait une recherche d'occurence sur la page... il m'a fallu chercher comment desactiver la fonction etc...,include
voaw11187923098409wvvm,NA,no,NA,no,NA,yes,Un peu long alors perte d'attention vers la fin,include
ywlz790528392158277olyl,NA,no,NA,no,NA,yes,"L'envoi de mes données chargeait en vain à la fin de ma première passation, nécessitant un deuxième essai.",include
